ID_Transaccion,Categoria_Producto,Precio_Unitario,Cantidad,Descuento_Aplicado,Tiempo_En_Web_Minutos,Distancia_Envio_Km,Costo_Envio,Total_Compra
68,Galletas y Brownies,71097.0,13,0.0,43.3,0.7,4050.0,928099.0
69,Postres Individuales,23211.0,2,0.05,24.8,6.0,12000.0,57970.0
70,Postres Individuales,46955.0,12,0.2,36.8,9.8,17700.0,470038.0
71,Tortas Personalizadas,69488.0,8,0.15,21.7,9.7,17550.0,489374.0
72,Bebidas,33278.0,8,0.05,3.2,1.3,4950.0,256473.0
73,Bebidas,56377.0,5,0.0,40.4,14.0,24000.0,306113.0
74,Galletas y Brownies,24651.0,13,0.0,14.1,4.1,9150.0,328947.0
75,Bebidas,13742.0,3,0.0,7.5,13.4,23100.0,65281.0
76,Galletas y Brownies,68551.0,9,0.1,44.8,3.6,8400.0,560680.0
77,Tortas Personalizadas,12917.0,12,0.05,16.6,8.7,16050.0,163809.0
78,Postres Individuales,26711.0,7,0.05,7.4,6.4,12600.0,192613.0
79,Postres Individuales,73409.0,1,0.0,15.1,8.9,16350.0,89163.0
80,Postres Individuales,32718.0,8,0.0,23.9,7.7,14550.0,277214.0
81,Bebidas,82844.0,10,0.05,5.3,0.5,3750.0,788927.0
82,Tortas Personalizadas,83379.0,13,0.15,16.8,5.6,11400.0,931837.0
83,Bebidas,26462.0,5,0.0,30.6,0.7,4050.0,135043.0
84,Bebidas,8278.0,6,0.1,41.3,10.4,18600.0,65600.0
85,Tortas Personalizadas,61405.0,9,0.0,18.8,12.9,22350.0,577938.0
86,Tortas Personalizadas,41079.0,10,0.1,26.1,6.1,12150.0,381124.0
87,Tortas Personalizadas,13060.0,14,0.15,29.2,8.1,15150.0,172516.0
88,Tortas Personalizadas,61602.0,8,0.0,4.6,1.5,5250.0,498942.0
89,Postres Individuales,7494.0,14,0.0,16.4,6.1,12150.0,116490.0
90,Panaderia Artesanal,74616.0,11,0.0,31.3,2.5,6750.0,829912.0
91,Panaderia Artesanal,16092.0,14,0.0,33.5,1.4,5100.0,229518.0
92,Tortas Personalizadas,15185.0,14,0.1,17.0,3.0,7500.0,197863.0
93,Panaderia Artesanal,19054.0,3,0.0,1.8,13.1,22650.0,78275.0
94,Panaderia Artesanal,81821.0,13,0.0,1.8,14.7,25050.0,1090054.0
95,Tortas Personalizadas,60454.0,5,0.05,24.9,13.2,22800.0,308529.0
96,Panaderia Artesanal,69110.0,4,0.05,25.5,14.6,24900.0,287301.0
97,Bebidas,36811.0,14,0.0,25.7,11.1,19650.0,534484.0
98,Galletas y Brownies,31905.0,1,0.05,32.9,2.8,7200.0,36724.0
99,Galletas y Brownies,23759.0,5,0.1,41.6,8.7,16050.0,122625.0
100,Tortas Personalizadas,43452.0,10,0.0,44.6,11.1,19650.0,453542.0
101,Postres Individuales,49146.0,7,0.05,32.0,7.9,14850.0,344049.0
102,Tortas Personalizadas,55542.0,1,0.1,23.9,8.5,15750.0,66400.0
103,Postres Individuales,25569.0,4,0.0,7.6,9.0,16500.0,118910.0
104,Galletas y Brownies,80892.0,6,0.1,18.2,7.3,13950.0,450145.0
105,Tortas Personalizadas,18581.0,11,0.1,26.4,4.7,10050.0,192120.0
106,Bebidas,82252.0,12,0.1,45.0,9.7,17550.0,904930.0
107,Panaderia Artesanal,6188.0,9,0.05,7.0,1.3,4950.0,57823.0
108,Postres Individuales,43490.0,11,0.1,36.0,3.0,7500.0,437958.0
109,Panaderia Artesanal,31669.0,8,0.1,45.0,13.9,23850.0,252094.0
110,Panaderia Artesanal,40930.0,2,0.1,36.5,7.6,14400.0,90268.0
111,Tortas Personalizadas,50653.0,11,0.0,34.9,12.4,21600.0,578110.0
112,Panaderia Artesanal,39847.0,3,0.0,12.8,11.0,19500.0,141156.0
113,Bebidas,38188.0,10,0.0,1.6,5.2,10800.0,392375.0
114,Panaderia Artesanal,63618.0,13,0.0,11.3,12.2,21300.0,848633.0
115,Tortas Personalizadas,59870.0,5,0.0,35.9,1.8,5700.0,304901.0
116,Bebidas,71662.0,11,0.0,6.2,13.2,22800.0,813074.0
117,Galletas y Brownies,24997.0,7,0.2,14.4,10.4,18600.0,157323.0
118,Panaderia Artesanal,53762.0,3,0.2,26.0,13.9,23850.0,154073.0
119,Tortas Personalizadas,51816.0,12,0.1,26.7,13.5,23250.0,585478.0
120,Galletas y Brownies,34579.0,7,0.2,25.1,6.0,12000.0,205487.0
121,Galletas y Brownies,43885.0,5,0.2,44.2,12.9,22350.0,193548.0
122,Postres Individuales,30103.0,10,0.15,2.0,8.7,16050.0,270242.0
123,Bebidas,16348.0,6,0.0,22.7,2.8,7200.0,104641.0
124,Panaderia Artesanal,22104.0,6,0.0,23.4,12.5,21750.0,154969.0
125,Tortas Personalizadas,13441.0,11,0.05,14.3,13.7,23550.0,165983.0
126,Postres Individuales,59646.0,11,0.0,24.3,1.7,5550.0,661503.0
127,Bebidas,57858.0,14,0.1,30.8,14.0,24000.0,752350.0
128,Postres Individuales,81049.0,12,0.0,30.8,9.2,16800.0,990387.0
129,Bebidas,63374.0,4,0.0,5.3,0.9,4350.0,257600.0
130,Bebidas,9164.0,12,0.0,36.4,8.4,15600.0,125607.0
131,Panaderia Artesanal,75740.0,8,0.05,42.0,12.1,21150.0,596048.0
132,Bebidas,74014.0,9,0.05,6.9,8.2,15300.0,650575.0
133,Postres Individuales,40466.0,2,0.1,19.6,10.8,19200.0,92323.0
134,Bebidas,51869.0,9,0.0,23.8,13.3,22950.0,491538.0
135,Panaderia Artesanal,83086.0,11,0.05,7.4,13.1,22650.0,891459.0
136,Panaderia Artesanal,47584.0,12,0.1,23.4,3.1,7650.0,523238.0
137,Postres Individuales,77426.0,4,0.1,10.5,6.7,13050.0,293060.0
138,Galletas y Brownies,11643.0,6,0.0,42.2,2.1,6150.0,77273.0
139,Galletas y Brownies,20284.0,14,0.0,21.0,9.1,16650.0,301323.0
140,Bebidas,40260.0,7,0.0,44.8,14.3,24450.0,303983.0
141,Tortas Personalizadas,51781.0,4,0.1,3.5,3.1,7650.0,191726.0
142,Bebidas,70298.0,8,0.0,7.0,6.4,12600.0,573446.0
143,Postres Individuales,84061.0,13,0.0,20.8,14.3,24450.0,1119008.0
144,Postres Individuales,36108.0,14,0.0,39.5,11.4,20100.0,526588.0
145,Postres Individuales,8793.0,10,0.1,25.7,1.5,5250.0,83891.0
146,Postres Individuales,69094.0,8,0.05,33.4,6.7,13050.0,540352.0
147,Postres Individuales,53350.0,1,0.05,19.9,14.8,25200.0,77396.0
148,Panaderia Artesanal,20883.0,8,0.05,3.3,7.1,13650.0,173153.0
149,Galletas y Brownies,44586.0,10,0.0,29.7,9.6,17400.0,464337.0
150,Postres Individuales,64385.0,14,0.0,29.1,10.7,19050.0,921333.0
151,Tortas Personalizadas,66633.0,12,0.0,4.6,10.1,18150.0,815902.0
152,Tortas Personalizadas,44969.0,3,0.0,8.9,8.0,15000.0,149982.0
153,Tortas Personalizadas,29417.0,5,0.15,22.2,2.4,6600.0,132440.0
154,Tortas Personalizadas,82899.0,14,0.05,20.9,10.8,19200.0,1121710.0
155,Panaderia Artesanal,58069.0,10,0.1,34.2,14.0,24000.0,545552.0
156,Tortas Personalizadas,37659.0,8,0.0,18.4,14.2,24300.0,322996.0
157,Postres Individuales,27437.0,11,0.0,30.4,9.1,16650.0,317237.0
158,Bebidas,63488.0,6,0.0,32.1,7.6,14400.0,396716.0
159,Tortas Personalizadas,24375.0,4,0.05,29.6,5.3,10950.0,104417.0
160,Panaderia Artesanal,18737.0,4,0.0,27.4,2.0,6000.0,78572.0
161,Panaderia Artesanal,47387.0,12,0.0,36.5,13.3,22950.0,592727.0
162,Tortas Personalizadas,28199.0,4,0.1,30.1,2.5,6750.0,106303.0
163,Bebidas,55312.0,6,0.2,37.8,4.7,10050.0,275263.0
164,Tortas Personalizadas,14435.0,7,0.0,29.2,11.2,19800.0,122066.0
165,Panaderia Artesanal,57395.0,13,0.0,8.4,10.7,19050.0,764698.0
166,Galletas y Brownies,27664.0,5,0.0,15.0,10.4,18600.0,154834.0
167,Postres Individuales,5019.0,10,0.1,15.9,11.3,19950.0,61200.0
168,Panaderia Artesanal,15155.0,14,0.0,5.6,8.4,15600.0,226351.0
169,Tortas Personalizadas,79689.0,8,0.05,31.6,2.7,7050.0,612036.0
170,Postres Individuales,74388.0,7,0.05,27.4,15.0,25500.0,520777.0
171,Tortas Personalizadas,23689.0,8,0.0,27.2,13.4,23100.0,211712.0
172,Tortas Personalizadas,67270.0,4,0.0,22.3,6.8,13200.0,281507.0
173,Galletas y Brownies,53686.0,8,0.0,25.1,8.2,15300.0,444012.0
174,Postres Individuales,82672.0,13,0.0,1.9,6.2,12300.0,1085969.0
175,Postres Individuales,34888.0,6,0.0,5.7,9.8,17700.0,229806.0
176,Galletas y Brownies,59517.0,3,0.05,31.2,11.1,19650.0,189652.0
177,Panaderia Artesanal,10083.0,13,0.05,12.9,3.9,8850.0,131953.0
178,Tortas Personalizadas,36700.0,8,0.0,6.2,6.8,13200.0,303635.0
179,Bebidas,82105.0,13,0.05,15.8,9.8,17700.0,1031885.0
180,Tortas Personalizadas,48118.0,7,0.0,12.6,14.8,25200.0,364208.0
181,Tortas Personalizadas,28030.0,10,0.05,2.8,5.2,10800.0,277852.0
182,Panaderia Artesanal,14622.0,5,0.1,19.4,11.3,19950.0,89582.0
183,Tortas Personalizadas,61282.0,11,0.1,2.7,5.5,11250.0,617076.0
184,Galletas y Brownies,56588.0,4,0.0,1.5,1.8,5700.0,232844.0
185,Galletas y Brownies,34915.0,1,0.05,36.0,11.7,20550.0,51469.0
186,Postres Individuales,81075.0,10,0.1,15.2,9.9,17850.0,744881.0
187,Bebidas,6776.0,3,0.0,26.2,8.0,15000.0,35055.0
188,Tortas Personalizadas,29298.0,2,0.05,14.5,10.3,18450.0,75864.0
189,Tortas Personalizadas,78686.0,8,0.1,42.0,13.2,22800.0,591864.0
190,Panaderia Artesanal,30675.0,14,0.0,33.2,11.5,20250.0,449784.0
191,Galletas y Brownies,25180.0,8,0.0,17.6,12.9,22350.0,222433.0
192,Bebidas,47738.0,12,0.05,10.7,4.7,10050.0,550958.0
193,Postres Individuales,70904.0,5,0.0,7.5,12.1,21150.0,374766.0
194,Galletas y Brownies,13252.0,14,0.0,34.7,5.7,11550.0,196996.0
195,Postres Individuales,80442.0,5,0.0,21.2,0.8,4200.0,405529.0
196,Panaderia Artesanal,68606.0,11,0.0,11.6,1.1,4650.0,756607.0
197,Panaderia Artesanal,19500.0,4,0.0,41.5,11.1,19650.0,97634.0
198,Tortas Personalizadas,61961.0,1,0.0,18.5,4.4,9600.0,71019.0
199,Bebidas,35797.0,1,0.0,25.1,5.0,10500.0,46963.0
200,Postres Individuales,37184.0,13,0.05,38.8,9.5,17250.0,475225.0
201,Galletas y Brownies,67663.0,6,0.0,37.8,11.3,19950.0,425339.0
202,Panaderia Artesanal,82023.0,4,0.0,29.3,8.6,15900.0,343983.0
203,Tortas Personalizadas,15132.0,4,0.0,40.2,10.7,19050.0,80097.0
204,Tortas Personalizadas,38650.0,3,0.0,42.9,14.1,24150.0,139343.0
205,Postres Individuales,43475.0,14,0.0,42.2,12.9,22350.0,629808.0
206,Panaderia Artesanal,35105.0,9,0.0,16.7,4.0,9000.0,323249.0
207,Bebidas,34055.0,3,0.05,18.8,13.6,23400.0,120531.0
208,Panaderia Artesanal,9181.0,8,0.0,12.0,4.8,10200.0,83024.0
209,Postres Individuales,59843.0,2,0.0,37.9,10.1,18150.0,140332.0
210,Postres Individuales,39897.0,4,0.1,6.8,13.2,22800.0,166093.0
211,Panaderia Artesanal,20584.0,1,0.0,16.9,9.5,17250.0,37992.0
212,Postres Individuales,70283.0,11,0.05,1.9,12.2,21300.0,757097.0
213,Panaderia Artesanal,69205.0,5,0.1,27.4,13.9,23850.0,336798.0
214,Galletas y Brownies,43911.0,2,0.0,30.1,14.5,24750.0,111854.0
215,Panaderia Artesanal,28876.0,11,0.2,12.3,6.5,12750.0,269629.0
216,Panaderia Artesanal,56047.0,13,0.15,33.5,14.9,25350.0,647814.0
217,Postres Individuales,28052.0,1,0.0,18.1,4.4,9600.0,37095.0
218,Postres Individuales,23881.0,1,0.15,15.1,7.2,13800.0,34053.0
219,Tortas Personalizadas,63441.0,2,0.1,43.1,11.5,20250.0,134865.0
220,Tortas Personalizadas,8226.0,5,0.15,27.1,14.6,24900.0,58650.0
221,Galletas y Brownies,12581.0,12,0.05,12.5,1.3,4950.0,148232.0
222,Tortas Personalizadas,5543.0,9,0.05,44.3,14.2,24300.0,70152.0
223,Panaderia Artesanal,17235.0,6,0.0,18.4,15.0,25500.0,128756.0
224,Postres Individuales,10519.0,12,0.0,29.7,13.7,23550.0,149486.0
225,Tortas Personalizadas,84664.0,4,0.0,33.0,2.1,6150.0,345312.0
226,Tortas Personalizadas,28105.0,3,0.0,19.9,12.7,22050.0,107100.0
227,Galletas y Brownies,16941.0,8,0.2,24.8,9.8,17700.0,125994.0
228,Galletas y Brownies,24280.0,3,0.0,11.9,0.6,3900.0,78625.0
229,Panaderia Artesanal,79890.0,1,0.1,21.8,14.8,25200.0,95633.0
230,Postres Individuales,46613.0,4,0.0,15.0,2.7,7050.0,192873.0
231,Galletas y Brownies,34185.0,11,0.0,25.3,6.3,12450.0,387384.0
232,Tortas Personalizadas,74871.0,13,0.05,30.6,0.9,4350.0,931231.0
233,Postres Individuales,36599.0,5,0.0,28.2,5.0,10500.0,193169.0
234,Postres Individuales,31801.0,5,0.2,35.3,8.7,16050.0,142946.0
235,Tortas Personalizadas,21583.0,5,0.0,3.3,14.0,24000.0,133837.0
236,Galletas y Brownies,35224.0,8,0.0,4.9,14.9,25350.0,304820.0
237,Tortas Personalizadas,30335.0,8,0.0,10.4,6.6,12900.0,254011.0
238,Postres Individuales,59184.0,12,0.0,44.4,6.7,13050.0,723036.0
239,Bebidas,28167.0,13,0.0,36.3,2.8,7200.0,372498.0
240,Bebidas,51176.0,4,0.0,41.7,7.7,14550.0,220550.0
241,Panaderia Artesanal,10271.0,9,0.05,13.3,14.1,24150.0,109811.0
242,Tortas Personalizadas,20303.0,1,0.0,26.5,2.9,7350.0,28523.0
243,Tortas Personalizadas,37592.0,5,0.0,25.6,4.4,9600.0,196055.0
244,Panaderia Artesanal,79956.0,5,0.1,26.3,13.4,23100.0,383288.0
245,Panaderia Artesanal,35180.0,5,0.0,32.7,9.6,17400.0,194620.0
246,Panaderia Artesanal,58126.0,8,0.0,18.6,5.3,10950.0,478763.0
247,Postres Individuales,25407.0,9,0.05,31.0,12.3,21450.0,236426.0
248,Tortas Personalizadas,15163.0,3,0.1,35.8,2.1,6150.0,47244.0
249,Postres Individuales,9683.0,9,0.1,14.1,12.9,22350.0,102210.0
250,Panaderia Artesanal,29433.0,13,0.1,42.6,8.0,15000.0,359471.0
251,Tortas Personalizadas,17613.0,11,0.0,24.0,11.5,20250.0,214564.0
252,Postres Individuales,18921.0,8,0.0,33.4,8.0,15000.0,165317.0
253,Postres Individuales,65861.0,3,0.0,33.2,4.1,9150.0,206245.0
254,Panaderia Artesanal,6267.0,2,0.15,26.1,9.8,17700.0,27189.0
255,Tortas Personalizadas,49625.0,4,0.0,15.5,2.7,7050.0,206460.0
256,Panaderia Artesanal,35357.0,13,0.05,30.5,3.8,8700.0,448137.0
257,Tortas Personalizadas,45524.0,12,0.1,5.3,8.5,15750.0,507645.0
258,Bebidas,50026.0,2,0.0,44.2,6.2,12300.0,112443.0
259,Galletas y Brownies,30069.0,4,0.0,9.5,11.3,19950.0,137017.0
260,Galletas y Brownies,28609.0,5,0.0,13.5,9.0,16500.0,159441.0
261,Galletas y Brownies,63672.0,2,0.0,43.0,6.0,12000.0,140195.0
262,Panaderia Artesanal,74702.0,12,0.0,9.6,5.2,10800.0,904745.0
263,Bebidas,20407.0,8,0.0,8.9,13.7,23550.0,187049.0
264,Tortas Personalizadas,12810.0,1,0.1,36.5,1.1,4650.0,16156.0
265,Postres Individuales,76824.0,3,0.15,12.4,10.5,18750.0,211639.0
266,Tortas Personalizadas,32992.0,7,0.05,5.6,6.2,12300.0,232323.0
267,Postres Individuales,49105.0,10,0.05,11.4,6.0,12000.0,477861.0
268,Tortas Personalizadas,33763.0,1,0.0,40.1,10.0,18000.0,51953.0
269,Bebidas,15064.0,13,0.0,13.7,12.8,22200.0,218510.0
270,Postres Individuales,52147.0,11,0.0,31.7,11.0,19500.0,591980.0
271,Panaderia Artesanal,47011.0,2,0.0,18.7,10.2,18300.0,112839.0
272,Tortas Personalizadas,21239.0,3,0.1,12.9,7.7,14550.0,71134.0
273,Tortas Personalizadas,41150.0,14,0.2,7.8,7.3,13950.0,475038.0
274,Postres Individuales,68756.0,14,0.0,43.8,7.2,13800.0,975412.0
275,Panaderia Artesanal,52234.0,2,0.0,24.2,2.6,6900.0,112988.0
276,Panaderia Artesanal,12753.0,2,0.0,6.5,8.6,15900.0,42440.0
277,Bebidas,48842.0,12,0.0,10.1,5.1,10650.0,596240.0
278,Panaderia Artesanal,61219.0,11,0.05,19.2,9.5,17250.0,658044.0
279,Panaderia Artesanal,68416.0,6,0.1,25.2,8.2,15300.0,384121.0
280,Panaderia Artesanal,55329.0,7,0.1,9.4,14.1,24150.0,373050.0
281,Galletas y Brownies,17213.0,6,0.05,13.6,6.8,13200.0,110042.0
282,Bebidas,61814.0,11,0.0,35.6,10.1,18150.0,699550.0
283,Tortas Personalizadas,59187.0,6,0.2,19.7,9.1,16650.0,300566.0
284,Postres Individuales,6954.0,9,0.1,1.6,10.4,18600.0,73916.0
285,Tortas Personalizadas,37940.0,8,0.0,3.8,4.4,9600.0,313464.0
286,Bebidas,31636.0,14,0.0,20.6,4.2,9300.0,449593.0
287,Postres Individuales,58553.0,8,0.1,4.1,8.6,15900.0,435967.0
288,Bebidas,22291.0,6,0.0,9.1,12.8,22200.0,155504.0
289,Panaderia Artesanal,52270.0,5,0.05,33.2,10.9,19350.0,267822.0
290,Postres Individuales,78056.0,9,0.0,22.4,7.6,14400.0,717079.0
291,Panaderia Artesanal,68824.0,12,0.1,22.5,4.2,9300.0,751787.0
292,Tortas Personalizadas,78717.0,2,0.05,27.5,11.5,20250.0,170690.0
293,Tortas Personalizadas,83280.0,7,0.05,35.8,13.9,23850.0,575815.0
294,Postres Individuales,5854.0,6,0.15,8.4,3.6,8400.0,37853.0
295,Postres Individuales,54819.0,7,0.15,9.0,12.1,21150.0,348918.0
296,Bebidas,38027.0,12,0.1,6.8,3.0,7500.0,419056.0
297,Bebidas,73788.0,4,0.0,42.3,13.6,23400.0,320463.0
298,Panaderia Artesanal,25145.0,9,0.0,26.6,9.8,17700.0,247384.0
299,Postres Individuales,83482.0,7,0.0,5.5,3.1,7650.0,591105.0
300,Tortas Personalizadas,54097.0,2,0.0,11.1,1.0,4500.0,113205.0
301,Bebidas,68483.0,13,0.15,33.1,10.6,18900.0,774420.0
302,Bebidas,11848.0,4,0.15,2.8,9.3,16950.0,55585.0
303,Tortas Personalizadas,19677.0,5,0.0,33.1,9.4,17100.0,116133.0
304,Bebidas,65672.0,2,0.0,41.1,7.5,14250.0,145638.0
305,Panaderia Artesanal,6759.0,10,0.0,4.0,9.4,17100.0,84090.0
306,Postres Individuales,70350.0,8,0.0,9.6,13.2,22800.0,586461.0
307,Tortas Personalizadas,6116.0,1,0.0,1.6,14.3,24450.0,30022.0
308,Postres Individuales,57570.0,3,0.05,6.2,5.5,11250.0,173067.0
309,Bebidas,34208.0,14,0.05,28.3,7.6,14400.0,470383.0
310,Bebidas,53920.0,1,0.15,3.4,4.5,9750.0,54554.0
311,Tortas Personalizadas,60683.0,5,0.0,20.0,6.5,12750.0,317291.0
312,Panaderia Artesanal,32398.0,8,0.0,23.4,12.0,21000.0,280725.0
313,Galletas y Brownies,13637.0,7,0.15,40.9,6.7,13050.0,90249.0
314,Tortas Personalizadas,10572.0,9,0.0,22.1,6.2,12300.0,107007.0
315,Galletas y Brownies,52115.0,2,0.0,7.7,12.8,22200.0,125014.0
316,Galletas y Brownies,46652.0,12,0.0,14.1,0.5,3750.0,564965.0
317,Panaderia Artesanal,64376.0,8,0.1,30.7,12.9,22350.0,485005.0
318,Galletas y Brownies,45779.0,8,0.1,6.4,3.1,7650.0,338534.0
319,Galletas y Brownies,38796.0,14,0.15,11.6,4.5,9750.0,471520.0
320,Panaderia Artesanal,36847.0,6,0.0,44.8,5.7,11550.0,231768.0
321,Galletas y Brownies,7116.0,3,0.1,1.7,13.3,22950.0,42915.0
322,Galletas y Brownies,31845.0,2,0.05,8.1,13.7,23550.0,85382.0
323,Galletas y Brownies,83082.0,14,0.0,38.2,10.1,18150.0,1179525.0
324,Tortas Personalizadas,74884.0,8,0.2,5.9,6.9,13350.0,490313.0
325,Tortas Personalizadas,31350.0,6,0.05,3.0,8.0,15000.0,193578.0
326,Tortas Personalizadas,52024.0,4,0.15,6.8,8.9,16350.0,192626.0
327,Panaderia Artesanal,72784.0,5,0.15,31.7,14.3,24450.0,334504.0
328,Bebidas,40302.0,5,0.0,44.7,14.6,24900.0,227597.0
329,Galletas y Brownies,6437.0,13,0.05,27.2,12.8,22200.0,99203.0
330,Galletas y Brownies,10961.0,9,0.0,6.9,9.0,16500.0,114586.0
331,Panaderia Artesanal,45831.0,13,0.1,9.5,6.2,12300.0,546184.0
332,Galletas y Brownies,82555.0,13,0.05,24.9,3.8,8700.0,1026218.0
333,Tortas Personalizadas,60457.0,9,0.1,32.6,8.2,15300.0,502481.0
334,Bebidas,10673.0,8,0.0,30.3,5.5,11250.0,96063.0
335,Postres Individuales,20149.0,8,0.05,26.5,1.6,5400.0,156160.0
336,Galletas y Brownies,66706.0,12,0.0,44.4,7.4,14100.0,813572.0
337,Tortas Personalizadas,72315.0,2,0.0,10.1,8.8,16200.0,159529.0
338,Postres Individuales,54416.0,14,0.1,9.0,9.4,17100.0,702227.0
339,Bebidas,56554.0,3,0.0,38.9,1.6,5400.0,175060.0
340,Postres Individuales,7267.0,14,0.0,14.2,7.5,14250.0,115870.0
341,Tortas Personalizadas,71282.0,8,0.0,16.0,10.0,18000.0,586417.0
342,Postres Individuales,68062.0,13,0.0,25.4,14.4,24600.0,909348.0
